year,dest_province,inflow,outflow,net_migration,dest_population,partners,inflow_per_1000,outflow_per_1000,net_per_1000,outflow_yoy_pct,inflow_yoy_pct,net_yoy_change,outflow_per_1000_yoy_pct,net_per_1000_change
2016,KIRIKKALE,14776,13300,1476,277984,80,53.154138367675834,47.84448025785657,5.30965810981927,-12.52302025782689,17.40961462058006,4095.0,-14.950174139889816,14.999931946079911
2017,KIRIKKALE,13434,14112,-678,278749,80,48.19389486599055,50.62619058723081,-2.4322957212402554,6.105263157894747,-9.082295614510016,-2154.0,5.814067400005785,-7.741953831059526
2018,KIRIKKALE,20575,15076,5499,286602,80,71.78945017829604,52.60256383416724,19.18688634412879,6.831065759637189,53.15617090963227,6177.0,3.903855344460627,21.619182065369046
2019,KIRIKKALE,12937,18854,-5917,283017,80,45.7110350261645,66.61790634484855,-20.906871318684036,25.05969753250199,-37.12272174969623,-11416.0,26.643839176481055,-40.09375766281283
2020,KIRIKKALE,8597,13021,-4424,278703,80,30.846456622282503,46.719985073716465,-15.873528451433964,-30.937732046250133,-33.547190229574085,1493.0,-29.86872803857,5.033342867250072
2021,KIRIKKALE,13449,16187,-2738,275968,80,48.73391117810761,58.65535134508349,-9.92144016697588,24.314568773519696,56.43829242759102,1686.0,25.546596927492548,5.952088284458084
2022,KIRIKKALE,14645,14703,-58,277046,80,52.86125769727771,53.07060921291049,-0.209351515632783,-9.167850744424532,8.892854487322488,2680.0,-9.521283231800325,9.712088651343098
2023,KIRIKKALE,23664,13403,10261,285744,80,82.81538719973122,46.90562181533121,35.909765384400025,-8.84173297966402,61.58415841584159,10319.0,-11.616575518940008,36.11911690003281
2024,KIRIKKALE,13584,16881,-3297,283053,80,47.991012283918565,59.63900753569119,-11.647995251772636,25.94941431022906,-42.59634888438134,-13558.0,27.14682212399122,-47.55776063617266
2008,KIRKLARELİ,10565,11027,-462,336942,80,31.355544871224126,32.72670073781244,-1.371155866588315,,,,,
2009,KIRKLARELİ,10359,11242,-883,333179,80,31.091395316031324,33.741622371157845,-2.650227055126524,1.949759680783525,-1.9498343587316613,-421.0,3.101203636371319,-1.279071188538209
2010,KIRKLARELİ,12844,12088,756,332791,80,38.59479372939773,36.32309767992524,2.271696049472492,7.525351360967791,23.988802007915822,1639.0,7.650714836326378,4.921923104599015
2011,KIRKLARELİ,11979,11829,150,340199,80,35.211743714708156,34.77082531106793,0.44091840364022233,-2.1426207809397746,-6.734662099034572,-606.0,-4.2735131858404385,-1.8307776458322695
